simulation_name,fetchToDecodeDelay,decodeToRenameDelay,renameToIEWDelay,clock,cycle_count
blender_r,1,1,1,1000,290798551
blender_r,5,5,5,1000,321230363
blender_r,20,20,20,1000,517476673
blender_r,1,1,1,500,282906416
blender_r,5,5,5,500,313476875
blender_r,20,20,20,500,509836979
cactuBSSN_r,1,1,1,1000,149178795
cactuBSSN_r,5,5,5,1000,156813876
cactuBSSN_r,20,20,20,1000,257703139
cactuBSSN_r,1,1,1,500,146479564
cactuBSSN_r,5,5,5,500,154061366
cactuBSSN_r,20,20,20,500,255116022
cam4_r,1,1,1,1000,389930335
cam4_r,5,5,5,1000,389756025
cam4_r,20,20,20,1000,415245823
cam4_r,1,1,1,500,366166882
cam4_r,5,5,5,500,366714836
cam4_r,20,20,20,500,392330878
deepsjeng_r,1,1,1,1000,3879958018
deepsjeng_r,5,5,5,1000,3895237773
deepsjeng_r,20,20,20,1000,3956169637
deepsjeng_r,1,1,1,500,3642684219
deepsjeng_r,5,5,5,500,3654152983
deepsjeng_r,20,20,20,500,3717058406
exchange2_r,1,1,1,1000,140520454
exchange2_r,5,5,5,1000,165786262
exchange2_r,20,20,20,1000,345094123
exchange2_r,1,1,1,500,140518101
exchange2_r,5,5,5,500,165786361
exchange2_r,20,20,20,500,345092161
fotonik3d_r,1,1,1,1000,182040109
fotonik3d_r,5,5,5,1000,194878983
fotonik3d_r,20,20,20,1000,317289682
fotonik3d_r,1,1,1,500,181885246
fotonik3d_r,5,5,5,500,194816663
fotonik3d_r,20,20,20,500,317242955
gcc_r,1,1,1,1000,353544830
gcc_r,5,5,5,1000,378759891
gcc_r,20,20,20,1000,523389440
gcc_r,1,1,1,500,351183621
gcc_r,5,5,5,500,376558762
gcc_r,20,20,20,500,521584132
imagick_r,1,1,1,1000,131625279
imagick_r,5,5,5,1000,147045290
imagick_r,20,20,20,1000,240043226
imagick_r,1,1,1,500,130185010
imagick_r,5,5,5,500,145595680
imagick_r,20,20,20,500,238752112
lbm_r,1,1,1,1000,1264054994
lbm_r,5,5,5,1000,1278380913
lbm_r,20,20,20,1000,1320928079
lbm_r,1,1,1,500,1186871584
lbm_r,5,5,5,500,1199159199
lbm_r,20,20,20,500,1243326462
leela_r,1,1,1,1000,129158600
leela_r,5,5,5,1000,137499913
leela_r,20,20,20,1000,232207304
leela_r,1,1,1,500,129158604
leela_r,5,5,5,500,137499914
leela_r,20,20,20,500,232207304
mcf_r,1,1,1,1000,152666434
mcf_r,5,5,5,1000,156520667
mcf_r,20,20,20,1000,271112776
mcf_r,1,1,1,500,150874250
mcf_r,5,5,5,500,155283740
mcf_r,20,20,20,500,269721953
nab_r,1,1,1,1000,168121794
nab_r,5,5,5,1000,206731747
nab_r,20,20,20,1000,401385532
nab_r,1,1,1,500,167457535
nab_r,5,5,5,500,206083800
nab_r,20,20,20,500,400819178
namd_r,1,1,1,1000,126732860
namd_r,5,5,5,1000,134303077
namd_r,20,20,20,1000,254361694
namd_r,1,1,1,500,126597148
namd_r,5,5,5,500,134178442
namd_r,20,20,20,500,254203120
omnetpp_r,1,1,1,1000,293395922
omnetpp_r,5,5,5,1000,340348873
omnetpp_r,20,20,20,1000,575694847
omnetpp_r,1,1,1,500,292225340
omnetpp_r,5,5,5,500,339276786
omnetpp_r,20,20,20,500,574457020
perlbench_r,1,1,1,1000,289991395
perlbench_r,5,5,5,1000,319901592
perlbench_r,20,20,20,1000,499721009
perlbench_r,1,1,1,500,288248262
perlbench_r,5,5,5,500,318228334
perlbench_r,20,20,20,500,498072378
povray_r,1,1,1,1000,161272719
povray_r,5,5,5,1000,179261269
povray_r,20,20,20,1000,341139455
povray_r,1,1,1,500,160943590
povray_r,5,5,5,500,178930215
povray_r,20,20,20,500,340832451
wrf_r,1,1,1,1000,474159689
wrf_r,5,5,5,1000,477682439
wrf_r,20,20,20,1000,520983174
wrf_r,1,1,1,500,450467074
wrf_r,5,5,5,500,454003948
wrf_r,20,20,20,500,497111843
x264_r,1,1,1,1000,215755592
x264_r,5,5,5,1000,228690139
x264_r,20,20,20,1000,305949403
x264_r,1,1,1,500,210725841
x264_r,5,5,5,500,223315850
x264_r,20,20,20,500,302025043
xalancbmk_r,1,1,1,1000,224580503
xalancbmk_r,5,5,5,1000,242767094
xalancbmk_r,20,20,20,1000,363719148
xalancbmk_r,1,1,1,500,224066631
xalancbmk_r,5,5,5,500,242325188
xalancbmk_r,20,20,20,500,363505244
xz_r,1,1,1,1000,223621301
xz_r,5,5,5,1000,272773971
xz_r,20,20,20,1000,472356358
xz_r,1,1,1,500,223255046
xz_r,5,5,5,500,272395121
xz_r,20,20,20,500,471968490
