simulation_name,Difference,branchRate,MemRead,MemWrite,D-Cache Missrate,I-Cache Missrate,L2 Cache Missrate,Idles,DRAM BW,DRAM Reads
xz_r,4.92,0.260206,62153814,26342932,0.005461,0.000149,0.350096,2403,34532733,61014
exchange2_r,3.86,0.353107,76342611,39596362,0.000004,0.003083,0.002666,23594,282382,327
omnetpp_r,3.39,0.281254,79585147,36845275,0.028016,0.103553,0.014400,1130908,46450348,110779
povray_r,2.21,0.332010,55631535,34801606,0.015895,0.019246,0.018562,279528,24076912,31120
perlbench_r,2.19,0.253081,64132746,33967244,0.015519,0.128487,0.026625,948047,103913542,179364
blender_r,2.17,0.303458,51507489,15131822,0.018532,0.002249,0.573357,556810,567164815,695370
fotonik3d_r,1.65,0.351499,58976879,35256122,0.000360,0.055803,0.005714,54880,8936929,12993
gcc_r,1.51,0.181872,77245471,42149224,0.014581,0.196870,0.028353,1623846,162132441,276292
xalancbmk_r,1.43,0.240129,67767824,35101497,0.014218,0.114496,0.030229,121864,99974893,149402
imagick_r,1.41,0.209577,31491869,6531963,0.074985,0.000219,0.062800,50427,129745133,127745
namd_r,1.39,0.420798,63168846,41849023,0.000187,0.000885,0.243614,5515,12790129,12875
leela_r,1.1,0.257231,76819375,31512524,0.000125,0.000000,0.000622,45,5838,6
cactuBSSN_r,1.09,0.123661,18324698,7894422,0.018719,0.005559,0.150396,415335,293341186,234823
mcf_r,0.45,0.378924,56486063,35761252,0.003540,0.000017,0.723444,1012,222100357,177437
nab_r,0.26,0.426654,60992543,30882557,0.013742,0.003660,0.066596,48038,41327860,58062
x264_r,0.26,0.032763,78828216,21875554,0.026587,0.000050,0.394830,16675,501550207,478201
wrf_r,0.19,0.129760,19224888,7276054,0.049721,0.040428,0.612233,3283241,1186074803,2184353
cam4_r,0.09,0.113790,14387881,5631000,0.066775,0.008728,0.850446,259348,1378946051,2014727
deepsjeng_r,0.06,0.011717,28067406,12677600,0.104492,0.040683,0.961232,148232,1505135625,21435579
lbm_r,0.03,0.013727,2168520,2243765,0.293473,0.000016,0.849585,11964,1596370183,9248380
