simulation_name,branchRate,MemRead,MemWrite,D-Cache Missrate,I-Cache Missrate,L2 Cache Missrate
blender_r,0.303180,51468693,15115613,0.018597,0.002295,0.573256
cactuBSSN_r,0.123880,18307570,7882644,0.018702,0.005489,0.150754
cam4_r,0.112914,14388638,5630392,0.066743,0.008888,0.849913
deepsjeng_r,0.011706,27987861,12639618,0.104513,0.041531,0.960932
exchange2_r,0.353135,76198006,39520134,0.000004,0.003102,0.002770
fotonik3d_r,0.351121,58968097,35174745,0.000360,0.055446,0.005724
gcc_r,0.183479,77126958,42068787,0.014487,0.198531,0.028014
imagick_r,0.210029,31488168,6531715,0.074982,0.000227,0.062828
lbm_r,0.013659,2271252,2243754,0.293377,0.000016,0.849586
leela_r,0.254458,76694967,31470686,0.000126,0.000001,0.000622
mcf_r,0.384717,56599110,35811897,0.003521,0.000018,0.723467
nab_r,0.426535,60868767,30832851,0.013747,0.003673,0.066645
namd_r,0.421944,63151680,41816768,0.000188,0.000886,0.243880
omnetpp_r,0.281786,79394735,36789683,0.027910,0.104087,0.014386
perlbench_r,0.253445,63881423,33835238,0.015525,0.129991,0.026390
povray_r,0.329386,55491348,34749893,0.015904,0.019977,0.018393
wrf_r,0.130651,19230140,7280321,0.049696,0.041404,0.608649
x264_r,0.032795,78808265,21835208,0.026898,0.000052,0.394828
xalancbmk_r,0.240023,67712081,35081301,0.014224,0.115546,0.029894
xz_r,0.260127,61998548,26283583,0.005444,0.000150,0.350165
