simulation_name,iewToCommitDelay,cycle_count
blender_r,1,285699229
blender_r,2,289083881
blender_r,4,295520807
cactuBSSN_r,1,145984038
cactuBSSN_r,2,146792659
cactuBSSN_r,4,148175033
cam4_r,1,365402191
cam4_r,2,365550592
cam4_r,4,365850355
deepsjeng_r,1,3643703263
deepsjeng_r,2,3645117338
deepsjeng_r,4,3647800949
exchange2_r,1,142614507
exchange2_r,2,144839118
exchange2_r,4,149787697
fotonik3d_r,1,183042312
fotonik3d_r,2,184127943
fotonik3d_r,4,186312378
gcc_r,1,353325724
gcc_r,2,355414378
gcc_r,4,359422568
imagick_r,1,132401970
imagick_r,2,132503751
imagick_r,4,132701532
lbm_r,1,1189423833
lbm_r,2,1189314832
lbm_r,4,1189548409
leela_r,1,130102474
leela_r,2,130890937
leela_r,4,132918572
mcf_r,1,151114152
mcf_r,2,151527416
mcf_r,4,152487438
nab_r,1,172027759
nab_r,2,175826098
nab_r,4,184234982
namd_r,1,127064529
namd_r,2,127491335
namd_r,4,128898332
omnetpp_r,1,304674403
omnetpp_r,2,308822831
omnetpp_r,4,317988254
perlbench_r,1,291032303
perlbench_r,2,294213744
perlbench_r,4,299956554
povray_r,1,161829883
povray_r,2,163272911
povray_r,4,166733742
wrf_r,1,450841781
wrf_r,2,451160746
wrf_r,4,451766669
x264_r,1,212742678
x264_r,2,212822320
x264_r,4,213425504
xalancbmk_r,1,227645761
xalancbmk_r,2,228987609
xalancbmk_r,4,231674497
xz_r,1,228779230
xz_r,2,234924951
xz_r,4,246264729
