simulation_name,decodeToExecuteForwardDelay,executeBranchDelay,fetch2ToDecodeForwardDelay,clock,cycle_count
blender_r,1,1,1,500,867348534
blender_r,5,1,1,500,985111122
blender_r,20,1,1,500,2170952874
cactuBSSN_r,1,1,1,500,543326930
cactuBSSN_r,5,1,1,500,570366639
cactuBSSN_r,20,1,1,500,921996938
cam4_r,1,1,1,500,721213180
cam4_r,5,1,1,500,794113072
cam4_r,20,1,1,500,1525470000
deepsjeng_r,1,1,1,500,3876952075
deepsjeng_r,5,1,1,500,3999006930
deepsjeng_r,20,1,1,500,4892262798
exchange2_r,1,1,1,500,609783869
exchange2_r,5,1,1,500,691190538
exchange2_r,20,1,1,500,1577611481
imagick_r,1,1,1,500,774001076
imagick_r,5,1,1,500,825177037
imagick_r,20,1,1,500,1277061336
lbm_r,1,1,1,500,1642273309
lbm_r,5,1,1,500,1673812925
lbm_r,20,1,1,500,2024913739
leela_r,1,1,1,500,458433677
leela_r,5,1,1,500,532283084
leela_r,20,1,1,500,1220258981
mcf_r,1,1,1,500,662898044
mcf_r,5,1,1,500,767132213
mcf_r,20,1,1,500,1707573848
nab_r,1,1,1,500,709987382
nab_r,5,1,1,500,809651666
nab_r,20,1,1,500,1719317498
namd_r,1,1,1,500,635624568
namd_r,5,1,1,500,740686618
namd_r,20,1,1,500,1641825953
omnetpp_r,1,1,1,500,941445766
omnetpp_r,5,1,1,500,1062339819
omnetpp_r,20,1,1,500,2079308341
perlbench_r,1,1,1,500,862911568
perlbench_r,5,1,1,500,953620195
perlbench_r,20,1,1,500,1820602052
povray_r,1,1,1,500,122919301
povray_r,5,1,1,500,138742701
povray_r,20,1,1,500,281529897
xalancbmk_r,1,1,1,500,883578803
xalancbmk_r,5,1,1,500,983574964
xalancbmk_r,20,1,1,500,1872674666
xz_r,1,1,1,500,494958054
xz_r,5,1,1,500,571214496
xz_r,20,1,1,500,1274888438
