simulation_name,iewToFetchDelay,cycle_count
blender_r,1,285699557
blender_r,2,287243051
blender_r,4,290766755
cactuBSSN_r,1,145984038
cactuBSSN_r,2,146482021
cactuBSSN_r,4,147588800
cam4_r,1,365402191
cam4_r,2,366346761
cam4_r,4,366591529
deepsjeng_r,1,3643703263
deepsjeng_r,2,3644882673
deepsjeng_r,4,3646330034
exchange2_r,1,142614507
exchange2_r,2,144367658
exchange2_r,4,148007740
fotonik3d_r,1,183042312
fotonik3d_r,2,184692497
fotonik3d_r,4,187191965
gcc_r,1,353325724
gcc_r,2,355352790
gcc_r,4,360448519
imagick_r,1,132401970
imagick_r,2,131990537
imagick_r,4,133901583
lbm_r,1,1189423833
lbm_r,2,1188976924
lbm_r,4,1189510856
leela_r,1,130102474
leela_r,2,130390284
leela_r,4,131134962
mcf_r,1,151114152
mcf_r,2,151433669
mcf_r,4,151950091
nab_r,1,172027759
nab_r,2,174557393
nab_r,4,179600964
namd_r,1,127064529
namd_r,2,127771105
namd_r,4,128495798
omnetpp_r,1,304674403
omnetpp_r,2,307599714
omnetpp_r,4,314838275
perlbench_r,1,291032303
perlbench_r,2,293514034
perlbench_r,4,297720324
povray_r,1,161829883
povray_r,2,163428276
povray_r,4,166405125
wrf_r,1,450841781
wrf_r,2,451111052
wrf_r,4,451783294
x264_r,1,212742678
x264_r,2,212775870
x264_r,4,213123815
xalancbmk_r,1,227645761
xalancbmk_r,2,229038420
xalancbmk_r,4,231780319
xz_r,1,228779230
xz_r,2,231743980
xz_r,4,238603527
